stages,income,acres,education,econ.value,envt.value,info.count
None,NA,4.83786795,NA,4.333333333,3.6,1
Conceptual,1,3.010620886,5,4,3,1
Conceptual,3,4.17438727,2,NA,NA,1
NA,3,4.40060302,3,5,NA,3
None,4,2.442347035,7,4.666666667,3.6,9
Applied,2,6.642747524,7,2,4.2,5
None,6,5.755425708,2,4.666666667,5,4
NA,2,5.798789578,NA,4.333333333,3.4,4
Conceptual,3,4.641502115,6,4.666666667,2.6,1
Conceptual,2,4.204692619,4,4,3,2
Applied,4,5.686975356,5,3,4.2,6
Conceptual,1,3.555348061,3,3,NA,1
Conceptual,4,7.077498054,6,5,5,2
Applied,1,3.218875825,3,4,4,3
None,3,4.382026635,2,4,3.4,1
None,5,5.857933154,5,2,4,4
Applied,1,2.833213344,4,3,4.4,1
Applied,1,4.882801923,4,2,4.4,1
None,NA,1.945910149,NA,5,3,2
None,1,3.912023005,2,1.666666667,3.8,2
Conceptual,2,6.326149473,5,4.833333333,5,5
None,1,2.302585093,6,4.666666667,4.4,5
Applied,2,5.872117789,4,3,4.8,13
Applied,2,4.976733742,5,1,4.2,3
Applied,3,3.46885603,6,2,4.2,2
Conceptual,NA,3.678829118,4,4.833333333,4,4
Applied,5,4.854527144,6,2,4.8,10
Applied,3,3.673765816,3,1,4.2,6
None,5,5.295814236,6,3.5,4.4,1
Applied,1,2.549445171,6,4.5,4.6,11
Conceptual,6,8.400187354,4,4.166666667,4.2,4
Applied,1,3.456316681,6,2,4.2,3
Applied,2,3.206803244,4,3,4,2
Conceptual,5,3.701301974,6,4.666666667,4.6,2
Applied,1,2.261763098,5,2,NA,1
Conceptual,2,3.005682604,4,4.333333333,4.4,6
Conceptual,2,2.862200881,4,4.333333333,4.4,6
Applied,3,3.740047741,7,4.5,3,2
None,1,2.785011242,5,4.5,3.8,6
Applied,6,6.799167339,6,4.666666667,5,5
None,1,2.186051277,5,4,1.4,2
Applied,NA,3.349904087,3,3.833333333,4.4,4
None,6,6.047135744,7,4.5,3.666666667,3
Conceptual,6,6.178980921,6,4.666666667,5,9
None,5,4.946487808,6,4.666666667,3.6,4
Applied,2,3.303216973,5,4.5,5,4
Applied,5,5.344246298,7,3.666666667,4.4,6
Applied,NA,2.054123734,3,5,NA,3
NA,1,2.687847494,7,5,5,4
Applied,1,2.815408719,6,4.333333333,4.6,0
None,5,4.009149716,4,5,4.8,1
Applied,6,5.91215074,NA,4.5,4.2,3
Conceptual,2,3.152736022,4,4.333333333,2.4,3
None,1,3.218875825,2,5,5,2
Conceptual,2,3.535145354,3,3.5,4,6
None,1,4.553876892,3,3,NA,1
Conceptual,1,2.867898902,5,1,1,1
Applied,4,5.765817866,4,5,NA,1
Conceptual,3,2.785011242,4,5,5,4
None,1,2.116255515,4,3.666666667,4,3
None,4,4.082609306,6,4,4,3
None,6,6.068657043,7,5,5,6
None,1,3.210843653,3,4,4,0
NA,1,2.4765384,1,NA,NA,3
Conceptual,6,6.151029117,6,3.666666667,2.6,3
None,1,3.42751469,3,5,5,1
Conceptual,4,4.645351976,7,4.2,3.4,4
Conceptual,6,5.68085497,4,5,5,1
Applied,4,2.772588722,2,2,5,2
None,NA,4.264087337,6,4.333333333,4,1
None,5,3.100092289,6,5,3.4,3
Conceptual,3,4.848116365,7,5,5,3
Conceptual,5,5.173774031,7,3.833333333,3.2,3
None,2,5.391352233,4,4.333333333,2.4,9
Conceptual,1,1.945910149,5,5,4.8,5
Applied,6,5.680513848,6,5,5,7
Conceptual,6,5.262690189,6,3.666666667,5,4
Conceptual,4,5.836826248,6,4.333333333,3,4
Conceptual,1,2.975529566,3,4,1.6,0
Conceptual,1,2.208274414,3,4,1.6,2
Conceptual,4,4.016383021,6,4.5,3.4,10
Conceptual,6,9.390056036,6,4.666666667,4.8,9
Conceptual,6,7.38274645,6,4.5,3.4,7
Conceptual,6,6.229575526,3,5,4.4,1
Applied,6,6.022720937,6,4.166666667,4.2,4
Conceptual,6,8.928230745,6,4.833333333,3.8,7
Conceptual,6,6.553078338,4,4.333333333,2.6,3
NA,4,4.943782987,4,4.8,4,6
Conceptual,3,3.916015027,6,5,4.6,5
Conceptual,1,2.079441542,5,5,5,2
None,5,4.771531723,2,4.333333333,4.2,5
None,6,6.507128448,6,3.166666667,3.8,3
None,5,5.327390614,3,4.666666667,4.2,1
None,2,3.39785848,5,3.166666667,2.2,1
Conceptual,5,5.663307642,6,4.666666667,3.8,7
Applied,5,3.686376324,4,1,5,5
Conceptual,6,4.854527144,6,4.666666667,4.8,9
Applied,6,5.838895948,6,2,5,10
Conceptual,6,5.370172804,4,4.166666667,1.8,2
None,1,2.151762203,6,4.833333333,1.2,3
None,1,1.410986974,2,2.666666667,1,1
Conceptual,2,5.674696894,6,4.666666667,2.8,5
Applied,1,2.895911938,6,3,5,7
Conceptual,6,4.630837933,6,4.666666667,4.8,9
Conceptual,2,3.328626689,7,4.666666667,2.4,5
Conceptual,5,5.899075098,6,4.666666667,3.8,6
Applied,2,3.317815773,4,4,5,4
Conceptual,6,5.972281728,4,3.666666667,4.2,11
Conceptual,4,5.020585625,6,5,4.2,1
Applied,1,6.746882053,4,2,5,4
None,6,7.533961054,6,4.333333333,1.2,3
NA,NA,3.663561646,NA,4.333333333,5,5
Applied,6,8.517193191,6,4.333333333,5,2
Applied,5,5.402677382,5,5,4.8,8
Applied,2,2.708050201,3,5,5,1
None,5,5.560681631,6,3.333333333,1,3
Conceptual,2,3.912023005,4,4.666666667,4.2,2
Applied,5,5.560681631,3,3,5,3
Applied,3,4.905274778,7,3,4.4,9
None,5,5.313205979,6,4.5,4.2,2
Applied,2,2.995732274,5,5,4,1
Conceptual,2,2.862200881,7,3.666666667,3.6,2
Applied,4,5.087596335,3,2,3.6,5
Applied,3,4.094344562,4,2,4,4
Conceptual,3,3.912023005,7,4.666666667,3.2,4
Conceptual,2,2.890371758,2,3,2.6,2
